id,center,availability,coefficient,total_dots,dot_ids,dot_coordinates,grids_ind_to_ind_distances,distance_avg,space_mean_speed,grid_density
199,"[12.0, 76.2102355330306]",t,1,0,[],[],[],0,,0
200,"[24.0, 76.2102355330306]",f,Infinity,0,[],[],[],0,,0
201,"[36.0, 76.2102355330306]",f,Infinity,0,[],[],[],0,,0
202,"[48.0, 76.2102355330306]",f,Infinity,0,[],[],[],0,,0
203,"[60.0, 76.2102355330306]",f,Infinity,0,[],[],[],0,,0
204,"[72.0, 76.2102355330306]",f,Infinity,0,[],[],[],0,,0
205,"[84.0, 76.2102355330306]",f,Infinity,0,[],[],[],0,,0
206,"[96.0, 76.2102355330306]",f,Infinity,0,[],[],[],0,,0
207,"[6.0, 79.67433714816835]",t,1,0,[],[],[],0,,0
208,"[18.0, 79.67433714816835]",t,1,0,[],[],[],0,,0
209,"[30.0, 79.67433714816835]",t,1,0,[],[],[],0,,0
210,"[42.0, 79.67433714816835]",f,Infinity,0,[],[],[],0,,0
211,"[54.0, 79.67433714816835]",f,Infinity,0,[],[],[],0,,0
212,"[66.0, 79.67433714816835]",f,Infinity,0,[],[],[],0,,0
213,"[78.0, 79.67433714816835]",f,Infinity,0,[],[],[],0,,0
214,"[90.0, 79.67433714816835]",f,Infinity,0,[],[],[],0,,0
215,"[102.0, 79.67433714816835]",f,Infinity,0,[],[],[],0,,0
216,"[0.0, 83.13843876330611]",f,Infinity,0,[],[],[],0,,0
217,"[12.0, 83.13843876330611]",t,1,0,[],[],[],0,,0
218,"[24.0, 83.13843876330611]",f,Infinity,0,[],[],[],0,,0
219,"[36.0, 83.13843876330611]",f,Infinity,0,[],[],[],0,,0
220,"[48.0, 83.13843876330611]",t,1,0,[],[],[],0,,0
221,"[60.0, 83.13843876330611]",t,1,0,[],[],[],0,,0
222,"[72.0, 83.13843876330611]",t,1,0,[],[],[],0,,0
223,"[84.0, 83.13843876330611]",t,1,0,[],[],[],0,,0
224,"[96.0, 83.13843876330611]",t,1,0,[],[],[],0,,0
225,"[6.0, 86.60254037844386]",t,1,0,[],[],[],0,,0
226,"[18.0, 86.60254037844386]",t,1,0,[],[],[],0,,0
227,"[30.0, 86.60254037844386]",t,1,0,[],[],[],0,,0
228,"[42.0, 86.60254037844386]",f,Infinity,0,[],[],[],0,,0
229,"[54.0, 86.60254037844386]",t,1,0,[],[],[],0,,0
230,"[66.0, 86.60254037844386]",t,1,0,[],[],[],0,,0
231,"[78.0, 86.60254037844386]",t,1,0,[],[],[],0,,0
232,"[90.0, 86.60254037844386]",t,1,0,[],[],[],0,,0
233,"[102.0, 86.60254037844386]",t,1,0,[],[],[],0,,0
234,"[0.0, 90.06664199358161]",f,Infinity,0,[],[],[],0,,0
235,"[12.0, 90.06664199358161]",t,1,0,[],[],[],0,,0
236,"[24.0, 90.06664199358161]",f,Infinity,0,[],[],[],0,,0
