grid_id,neighbor_ids,distances
137,"[119, 128, 129, 146, 147, 155]","[6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507, 6.928203230275507, 6.928203230275507]"
138,"[120, 129, 130, 147, 148, 156]","[6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507, 6.928203230275507, 6.928203230275507]"
139,"[121, 130, 131, 148, 149, 157]","[6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507, 6.928203230275507, 6.928203230275507]"
140,"[122, 131, 132, 149, 150, 158]","[6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507, 6.928203230275507, 6.928203230275507]"
141,"[123, 132, 133, 150, 151, 159]","[6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507, 6.928203230275507, 6.928203230275507]"
142,"[124, 133, 134, 151, 152, 160]","[6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507, 6.928203230275507, 6.928203230275507]"
143,"[125, 134, 152, 161]","[6.928203230275507, 6.9282032302755105, 6.928203230275507, 6.928203230275507]"
144,"[126, 135, 153, 162]","[6.928203230275507, 6.928203230275507, 6.9282032302755105, 6.928203230275507]"
145,"[127, 135, 136, 153, 154, 163]","[6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507]"
146,"[128, 136, 137, 154, 155, 164]","[6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507]"
147,"[129, 137, 138, 155, 156, 165]","[6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507]"
148,"[130, 138, 139, 156, 157, 166]","[6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507]"
149,"[131, 139, 140, 157, 158, 167]","[6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507]"
150,"[132, 140, 141, 158, 159, 168]","[6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507]"
151,"[133, 141, 142, 159, 160, 169]","[6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507]"
152,"[134, 142, 143, 160, 161, 170]","[6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507]"
153,"[135, 144, 145, 162, 163, 171]","[6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507, 6.928203230275507, 6.928203230275507]"
154,"[136, 145, 146, 163, 164, 172]","[6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507, 6.928203230275507, 6.928203230275507]"
155,"[137, 146, 147, 164, 165, 173]","[6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507, 6.928203230275507, 6.928203230275507]"
156,"[138, 147, 148, 165, 166, 174]","[6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507, 6.928203230275507, 6.928203230275507]"
157,"[139, 148, 149, 166, 167, 175]","[6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507, 6.928203230275507, 6.928203230275507]"
158,"[140, 149, 150, 167, 168, 176]","[6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507, 6.928203230275507, 6.928203230275507]"
159,"[141, 150, 151, 168, 169, 177]","[6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507, 6.928203230275507, 6.928203230275507]"
160,"[142, 151, 152, 169, 170, 178]","[6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507, 6.928203230275507, 6.928203230275507]"
161,"[143, 152, 170, 179]","[6.928203230275507, 6.9282032302755105, 6.928203230275507, 6.928203230275507]"
162,"[144, 153, 171, 180]","[6.928203230275507, 6.928203230275507, 6.9282032302755105, 6.928203230275507]"
163,"[145, 153, 154, 171, 172, 181]","[6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507]"
164,"[146, 154, 155, 172, 173, 182]","[6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507]"
165,"[147, 155, 156, 173, 174, 183]","[6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507]"
166,"[148, 156, 157, 174, 175, 184]","[6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507]"
167,"[149, 157, 158, 175, 176, 185]","[6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507]"
168,"[150, 158, 159, 176, 177, 186]","[6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507]"
